film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
280,"EMPIRE MALKOVICH","A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House",2006,1,NULL,7,0.99,177,26.99,G,"Deleted Scenes","2006-02-15 05:03:42"
281,"ENCINO ELF","A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon",2006,1,NULL,6,0.99,143,9.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
289,"EVE RESURRECTION","A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon",2006,1,NULL,5,4.99,66,25.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
292,"EXCITEMENT EVE","A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank",2006,1,NULL,3,0.99,51,20.99,G,Commentaries,"2006-02-15 05:03:42"
293,"EXORCIST STING","A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin",2006,1,NULL,6,2.99,167,17.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
297,"EXTRAORDINARY CONQUERER","A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin",2006,1,NULL,6,2.99,122,29.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
302,"FANTASIA PARK","A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia",2006,1,NULL,5,2.99,131,29.99,G,Commentaries,"2006-02-15 05:03:42"
304,"FARGO GANDHI","A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback",2006,1,NULL,3,2.99,130,28.99,G,"Deleted Scenes","2006-02-15 05:03:42"
313,"FIDELITY DEVIL","A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat",2006,1,NULL,5,4.99,118,11.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
318,"FIREHOUSE VIETNAM","A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert",2006,1,NULL,7,0.99,103,14.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
322,"FLATLINERS KILLER","A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft",2006,1,NULL,5,2.99,100,29.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
350,"GARDEN ISLAND","A Unbelieveable Character Study of a Womanizer And a Madman who must Reach a Man in The Outback",2006,1,NULL,3,4.99,80,21.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
354,"GHOST GROUNDHOG","A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India",2006,1,NULL,6,4.99,85,18.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
357,"GILBERT PELICAN","A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse",2006,1,NULL,7,0.99,114,13.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
360,"GLASS DYING","A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan",2006,1,NULL,4,0.99,103,24.99,G,Trailers,"2006-02-15 05:03:42"
366,"GOLDFINGER SENSIBILITY","A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans",2006,1,NULL,3,0.99,93,29.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
371,"GOSFORD DONNIE","A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin",2006,1,NULL,5,4.99,129,17.99,G,Commentaries,"2006-02-15 05:03:42"
373,"GRADUATE LORD","A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China",2006,1,NULL,7,2.99,156,14.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
376,"GRAPES FURY","A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia",2006,1,NULL,4,0.99,155,20.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
377,"GREASE YOUTH","A Emotional Panorama of a Secret Agent And a Waitress who must Escape a Composer in Soviet Georgia",2006,1,NULL,7,0.99,135,20.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
387,"GUN BONNIE","A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico",2006,1,NULL,7,0.99,100,27.99,G,"Behind the Scenes","2006-02-15 05:03:42"
396,"HANGING DEEP","A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin",2006,1,NULL,5,4.99,62,18.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
399,"HAPPINESS UNITED","A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan",2006,1,NULL,6,2.99,100,23.99,G,"Deleted Scenes","2006-02-15 05:03:42"
402,"HARPER DYING","A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert",2006,1,NULL,3,0.99,52,15.99,G,Trailers,"2006-02-15 05:03:42"
409,"HEARTBREAKERS BRIGHT","A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies",2006,1,NULL,3,4.99,59,9.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
412,"HEAVYWEIGHTS BEAST","A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park",2006,1,NULL,6,4.99,102,25.99,G,"Deleted Scenes","2006-02-15 05:03:42"
417,"HILLS NEIGHBORS","A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat",2006,1,NULL,5,0.99,93,29.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
419,"HOCUS FRIDA","A Awe-Inspiring Tale of a Girl And a Madman who must Outgun a Student in A Shark Tank",2006,1,NULL,4,2.99,141,19.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
430,"HOOK CHARIOTS","A Insightful Story of a Boy And a Dog who must Redeem a Boy in Australia",2006,1,NULL,7,0.99,49,23.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
431,"HOOSIERS BIRDCAGE","A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station",2006,1,NULL,3,2.99,176,12.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
440,"HUNGER ROOF","A Unbelieveable Yarn of a Student And a Database Administrator who must Outgun a Husband in An Abandoned Mine Shaft",2006,1,NULL,6,0.99,105,21.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
445,"HYDE DOCTOR","A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat",2006,1,NULL,5,2.99,100,11.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
467,"INTRIGUE WORST","A Fanciful Character Study of a Explorer And a Mad Scientist who must Vanquish a Squirrel in A Jet Boat",2006,1,NULL,6,0.99,181,10.99,G,"Deleted Scenes","2006-02-15 05:03:42"
472,"ITALIAN AFRICAN","A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat",2006,1,NULL,3,4.99,174,24.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
475,"JAPANESE RUN","A Awe-Inspiring Epistle of a Feminist And a Girl who must Sink a Girl in The Outback",2006,1,NULL,6,0.99,135,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
478,"JAWS HARRY","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House",2006,1,NULL,4,2.99,112,10.99,G,"Deleted Scenes","2006-02-15 05:03:42"
490,"JUMANJI BLADE","A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans",2006,1,NULL,4,2.99,121,13.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
497,"KILL BROTHERHOOD","A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback",2006,1,NULL,4,0.99,54,15.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
510,"LAWLESS VISION","A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback",2006,1,NULL,6,4.99,181,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
519,"LIBERTY MAGNIFICENT","A Boring Drama of a Student And a Cat who must Sink a Technical Writer in A Baloon",2006,1,NULL,3,2.99,138,27.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
529,"LONELY ELEPHANT","A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia",2006,1,NULL,3,2.99,67,12.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
537,"LOVER TRUMAN","A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat",2006,1,NULL,3,2.99,75,29.99,G,Trailers,"2006-02-15 05:03:42"
542,"LUST LOCK","A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert",2006,1,NULL,3,2.99,52,28.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
554,"MALKOVICH PET","A Intrepid Reflection of a Waitress And a A Shark who must Kill a Squirrel in The Outback",2006,1,NULL,6,2.99,159,22.99,G,"Behind the Scenes","2006-02-15 05:03:42"
559,"MARRIED GO","A Fanciful Story of a Womanizer And a Dog who must Face a Forensic Psychologist in The Sahara Desert",2006,1,NULL,7,2.99,114,22.99,G,"Behind the Scenes","2006-02-15 05:03:42"
567,"MEET CHOCOLATE","A Boring Documentary of a Dentist And a Butler who must Confront a Monkey in A MySQL Convention",2006,1,NULL,3,2.99,80,26.99,G,Trailers,"2006-02-15 05:03:42"
569,"MENAGERIE RUSHMORE","A Unbelieveable Panorama of a Composer And a Butler who must Overcome a Database Administrator in The First Manned Space Station",2006,1,NULL,7,2.99,147,18.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
574,"MIDNIGHT WESTWARD","A Taut Reflection of a Husband And a A Shark who must Redeem a Pastry Chef in A Monastery",2006,1,NULL,3,0.99,86,19.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
575,"MIDSUMMER GROUNDHOG","A Fateful Panorama of a Moose And a Dog who must Chase a Crocodile in Ancient Japan",2006,1,NULL,3,4.99,48,27.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
581,"MINORITY KISS","A Insightful Display of a Lumberjack And a Sumo Wrestler who must Meet a Man in The Outback",2006,1,NULL,4,0.99,59,16.99,G,Trailers,"2006-02-15 05:03:42"
585,"MOB DUFFEL","A Unbelieveable Documentary of a Frisbee And a Boat who must Meet a Boy in The Canadian Rockies",2006,1,NULL,4,0.99,105,25.99,G,Trailers,"2006-02-15 05:03:42"
593,"MONTEREY LABYRINTH","A Awe-Inspiring Drama of a Monkey And a Composer who must Escape a Feminist in A U-Boat",2006,1,NULL,6,0.99,158,13.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
597,"MOONWALKER FOOL","A Epic Drama of a Feminist And a Pioneer who must Sink a Composer in New Orleans",2006,1,NULL,5,4.99,184,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
598,"MOSQUITO ARMAGEDDON","A Thoughtful Character Study of a Waitress And a Feminist who must Build a Teacher in Ancient Japan",2006,1,NULL,6,0.99,57,22.99,G,Trailers,"2006-02-15 05:03:42"
604,"MULAN MOON","A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon",2006,1,NULL,4,0.99,160,10.99,G,"Behind the Scenes","2006-02-15 05:03:42"
609,"MUSCLE BRIGHT","A Stunning Panorama of a Sumo Wrestler And a Husband who must Redeem a Madman in Ancient India",2006,1,NULL,7,2.99,185,23.99,G,"Deleted Scenes","2006-02-15 05:03:42"
612,"MUSSOLINI SPOILERS","A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China",2006,1,NULL,6,2.99,180,10.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
622,"NEWSIES STORY","A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico",2006,1,NULL,4,0.99,159,25.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
626,"NOON PAPI","A Unbelieveable Character Study of a Mad Scientist And a Astronaut who must Find a Pioneer in A Manhattan Penthouse",2006,1,NULL,5,2.99,57,12.99,G,"Behind the Scenes","2006-02-15 05:03:42"
631,"NOVOCAINE FLIGHT","A Fanciful Display of a Student And a Teacher who must Outgun a Crocodile in Nigeria",2006,1,NULL,4,0.99,64,11.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
638,"OPERATION OPERATION","A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China",2006,1,NULL,7,2.99,156,23.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
